sample size N,method,layer of community tree structure,true number of communities,normalized mutual information,label matching accuracy,hierarchical tree structure distance
10,BDGM,1,3,0.0,0.33333333333333404,0.33333333333333404
10,HCD-Sign,1,3,0.7882950219283247,0.9111111111111111,0.10068587105624145
10,HCD-Spec,1,3,0.9248323760257909,0.9740740740740739,0.07471422039323275
10,BDGM,2,9,0.8795115799242577,0.8640000000000028,0.2788319914117011
10,HCD-Sign,2,9,0.6685805136426288,0.5592592592592593,0.139658615136876
10,HCD-Spec,2,9,0.7020980762904772,0.5703703703703704,0.10278260869565214
20,BDGM,1,3,0.5915540022924138,0.7284444444444452,0.10776406035665308
20,HCD-Sign,1,3,0.8130496205737255,0.9185185185185187,0.0960981557689377
20,HCD-Spec,1,3,0.894957326802507,0.961111111111111,0.0806279530559366
20,BDGM,2,9,0.918771618667603,0.8929629629629627,0.10236822329575955
20,HCD-Sign,2,9,0.6795385596862331,0.5666666666666667,0.13367149758454103
20,HCD-Spec,2,9,0.6919050547099977,0.5555555555555556,0.11133011272141705
30,BDGM,1,3,1.0,1.0,0.0
30,HCD-Sign,1,3,0.804643307559873,0.9172839506172841,0.09772900472488953
30,HCD-Spec,1,3,0.9074527225451116,0.9641975308641973,0.0784636488340192
30,BDGM,2,9,0.9294344366889545,0.92585185185185,0.010741814278046205
30,HCD-Sign,2,9,0.6797904737971431,0.5654320987654322,0.1368309178743961
30,HCD-Spec,2,9,0.6924241311908743,0.5604938271604938,0.10935480407944177
40,BDGM,1,3,1.0,1.0,0.0
40,HCD-Sign,1,3,0.8184227404683394,0.9240740740740743,0.09490169181527207
40,HCD-Spec,1,3,0.9090996470440741,0.9657407407407405,0.07792257277853984
40,BDGM,2,9,0.9294928479666165,0.925925925925924,0.010735373054213676
40,HCD-Sign,2,9,0.6840981299924248,0.5712962962962964,0.1332528180354267
40,HCD-Spec,2,9,0.6991900620590293,0.5712962962962962,0.1086070853462158
50,BDGM,1,3,1.0,1.0,0.0
50,HCD-Sign,1,3,0.8232456969882449,0.9259259259259258,0.09369913122999543
50,HCD-Spec,1,3,0.9100872395606855,0.9659259259259255,0.07794543514708122
50,BDGM,2,9,1.0,1.0,0.0
50,HCD-Sign,2,9,0.6916228759680592,0.5800000000000003,0.13062286634460546
50,HCD-Spec,2,9,0.7076476867421849,0.585185185185185,0.1073391304347826
